library_id,library_name,location
1,PT Nurdiyanti,"Jl. Cikutra Timur No. 362
Tanjungpinang, SU 06987"
2,PD Sihombing Putra,"Gang Cempaka No. 11
Surakarta, Banten 76647"
3,CV Nababan,"Jalan Pasirkoja No. 78
Semarang, Maluku 83417"
4,UD Sihotang,"Jl. W.R. Supratman No. 8
Kediri, SS 10391"
5,PT Haryanti Hutasoit (Persero) Tbk,"Gang Rajiman No. 62
Kupang, Kepulauan Riau 04453"
6,PT Budiyanto Nasyidah,"Gg. Jend. Sudirman No. 602
Cimahi, Sumatera Utara 16093"
7,Perum Andriani,"Jl. Pasir Koja No. 4
Pagaralam, SB 98466"
8,CV Widiastuti,"Jalan Gedebage Selatan No. 626
Tasikmalaya, Papua Barat 43541"
9,PD Samosir Tbk,"Jl. Laswi No. 19
Kendari, KS 09803"
10,Perum Pranowo Wibowo,"Jalan Raya Setiabudhi No. 2
Tarakan, JA 27925"
